Segment	Protein Name	Sequence Accession	Complete Genome	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	Curation Report	
6	NA	MH081888	Yes	1441	H3N2	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/03/2018	Pass	
3	PA,PA-X	MH081893	Yes	2209	H3N2	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/03/2018	Pass	
1	PB2	MH081895	Yes	2316	H3N2	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/03/2018	Pass	
5	NP	MH081891	Yes	1542	H3N2	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/03/2018	Pass	
8	-N/A-,-N/A-	MH081889	Yes	865	H3N2	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/03/2018	Pass	
8	-N/A-,-N/A-	MH125598	Yes	865	H1N1	01/12/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/05/2018	Pass	
5	NP	MH125601	Yes	1540	H1N1	01/12/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/05/2018	Pass	
3	PA,PA-X	MH125603	Yes	2208	H1N1	01/12/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/05/2018	Pass	
1	PB2	MH125605	Yes	2316	H1N1	01/12/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/05/2018	Pass	
6	NA	MH125600	Yes	1433	H1N1	01/12/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/05/2018	Pass	
4	HA	MH125602	Yes	1753	H1N1	01/12/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/05/2018	Pass	
2	-N/A-	MH125604	Yes	2316	H1N1	01/12/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/05/2018	Pass	
7	-N/A-,-N/A-	MH125599	Yes	1002	H1N1	01/12/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/05/2018	Pass	
5	NP	MH126368	Yes	1542	H3N2	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/06/2018	Pass	
7	-N/A-,-N/A-	MH126366	Yes	1002	H3N2	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/06/2018	Pass	
1	PB2	MH126372	Yes	2316	H3N2	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/06/2018	Pass	
3	PA,PA-X	MH126370	Yes	2209	H3N2	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/06/2018	Pass	
6	NA	MH126367	Yes	1441	H3N2	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/06/2018	Pass	
8	-N/A-,-N/A-	MH126365	Yes	865	H3N2	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/06/2018	Pass	
2	-N/A-,-N/A-	MH126371	Yes	2316	H3N2	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/06/2018	Pass	
4	HA	MH126369	Yes	1737	H3N2	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/06/2018	Pass	
5	NP	MH125609	Yes	1540	H1N1	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/07/2018	Pass	
1	PB2	MH125613	Yes	2316	H1N1	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/07/2018	Pass	
8	-N/A-,-N/A-	MH125606	Yes	865	H1N1	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/07/2018	Pass	
2	-N/A-	MH125612	Yes	2316	H1N1	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/07/2018	Pass	
4	HA	MH125610	Yes	1752	H1N1	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/07/2018	Pass	
3	PA,PA-X	MH125611	Yes	2208	H1N1	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/07/2018	Pass	
6	NA	MH125608	Yes	1434	H1N1	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/07/2018	Pass	
7	-N/A-,-N/A-	MH125607	Yes	1002	H1N1	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/07/2018	Pass	
6	NA	MH125616	Yes	1433	H1N1	01/15/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/08/2018	Pass	
4	HA	MH125618	Yes	1752	H1N1	01/15/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/08/2018	Pass	
3	PA,PA-X	MH125619	Yes	2209	H1N1	01/15/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/08/2018	Pass	
1	PB2	MH125621	Yes	2316	H1N1	01/15/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/08/2018	Pass	
5	NP	MH125617	Yes	1540	H1N1	01/15/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/08/2018	Pass	
2	-N/A-	MH125620	Yes	2316	H1N1	01/15/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/08/2018	Pass	
7	-N/A-,-N/A-	MH125615	Yes	1002	H1N1	01/15/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/08/2018	Pass	
8	-N/A-,-N/A-	MH125614	Yes	865	H1N1	01/15/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/08/2018	Pass	
4	HA	MH126307	Yes	1737	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
7	-N/A-,-N/A-	MH126304	Yes	1002	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
3	PA,PA-X	MH246237	Yes	2209	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
6	NA	MH126305	Yes	1442	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
6	NA	MH246236	Yes	1442	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
7	-N/A-,-N/A-	MH246238	Yes	1002	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
8	-N/A-,-N/A-	MH246240	Yes	865	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
4	HA	MH246242	Yes	1737	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
5	NP	MH126306	Yes	1542	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
2	-N/A-,-N/A-	MH126308	Yes	2316	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
8	-N/A-,-N/A-	MH126333	Yes	865	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
2	-N/A-,-N/A-	MH246239	Yes	2316	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
1	PB2	MH246241	Yes	2316	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
5	NP	MH246243	Yes	1542	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
1	PB2	MH126309	Yes	2316	H3N2	01/16/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/09/2018	Pass	
8	-N/A-,-N/A-	MH125622	Yes	865	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/10/2018	Pass	
6	NA	MH125624	Yes	1434	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/10/2018	Pass	
4	HA	MH125626	Yes	1752	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/10/2018	Pass	
1	PB2	MH125629	Yes	2316	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/10/2018	Pass	
7	-N/A-,-N/A-	MH125623	Yes	1002	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/10/2018	Pass	
5	NP	MH125625	Yes	1540	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/10/2018	Pass	
3	PA,PA-X	MH125627	Yes	2208	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/10/2018	Pass	
2	-N/A-	MH125628	Yes	2316	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/10/2018	Pass	
8	-N/A-,-N/A-	MH125630	Yes	865	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/11/2018	Pass	
6	NA	MH125632	Yes	1433	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/11/2018	Pass	
4	HA	MH125634	Yes	1752	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/11/2018	Pass	
1	PB2	MH125637	Yes	2316	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/11/2018	Pass	
7	-N/A-,-N/A-	MH125631	Yes	1002	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/11/2018	Pass	
5	NP	MH125633	Yes	1540	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/11/2018	Pass	
3	PA,PA-X	MH125635	Yes	2208	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/11/2018	Pass	
2	-N/A-	MH125636	Yes	2316	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/11/2018	Pass	
8	-N/A-,-N/A-	MH125638	Yes	865	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/12/2018	Pass	
6	NA	MH125640	Yes	1433	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/12/2018	Pass	
4	HA	MH125642	Yes	1752	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/12/2018	Pass	
1	PB2	MH125645	Yes	2316	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/12/2018	Pass	
7	-N/A-,-N/A-	MH125639	Yes	1002	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/12/2018	Pass	
5	NP	MH125641	Yes	1540	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/12/2018	Pass	
3	PA,PA-X	MH125643	Yes	2208	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/12/2018	Pass	
2	-N/A-	MH125644	Yes	2316	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/12/2018	Pass	
8	-N/A-,-N/A-	MH126373	Yes	865	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
2	-N/A-,-N/A-	MH897981	Yes	2316	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
4	HA	MH126377	Yes	1737	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
2	-N/A-,-N/A-	MH126379	Yes	2316	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
7	-N/A-,-N/A-	MH126374	Yes	1002	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
5	NP	MH126376	Yes	1542	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
3	PA,PA-X	MH126378	Yes	2209	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
1	PB2	MH126380	Yes	2316	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
6	NA	MH897978	Yes	1441	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
3	PA,PA-X	MH897979	Yes	2209	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
7	-N/A-,-N/A-	MH897980	Yes	1002	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
8	-N/A-,-N/A-	MH897982	Yes	865	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
1	PB2	MH897983	Yes	2316	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
4	HA	MH897984	Yes	1737	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
5	NP	MH897985	Yes	1542	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
6	NA	MH126375	Yes	1441	H3N2	02/01/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/13/2018	Pass	
7	-N/A-,-N/A-	MH126382	Yes	1002	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
6	NA	MH897986	Yes	1441	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
2	-N/A-,-N/A-	MH126387	Yes	2316	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
1	PB2	MH126388	Yes	2316	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
6	NA	MH126383	Yes	1441	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
8	-N/A-,-N/A-	MH126381	Yes	865	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
5	NP	MH126384	Yes	1542	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
3	PA,PA-X	MH126386	Yes	2209	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
3	PA,PA-X	MH897987	Yes	2209	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
7	-N/A-,-N/A-	MH897988	Yes	1002	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
2	-N/A-,-N/A-	MH897989	Yes	2316	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
8	-N/A-,-N/A-	MH897990	Yes	865	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
1	PB2	MH897991	Yes	2316	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
4	HA	MH897992	Yes	1737	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
5	NP	MH897993	Yes	1542	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
4	HA	MH126385	Yes	1737	H3N2	02/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/14/2018	Pass	
6	NA	MH125648	Yes	1433	H1N1	02/04/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/15/2018	Pass	
4	HA	MH125650	Yes	1752	H1N1	02/04/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/15/2018	Pass	
2	-N/A-	MH125652	Yes	2316	H1N1	02/04/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/15/2018	Pass	
3	PA,PA-X	MH125651	Yes	2208	H1N1	02/04/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/15/2018	Pass	
1	PB2	MH125653	Yes	2316	H1N1	02/04/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/15/2018	Pass	
7	-N/A-,-N/A-	MH125647	Yes	1002	H1N1	02/04/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/15/2018	Pass	
5	NP	MH125649	Yes	1540	H1N1	02/04/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/15/2018	Pass	
8	-N/A-,-N/A-	MH125646	Yes	865	H1N1	02/04/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/15/2018	Pass	
6	NA	MH443414	Yes	1433	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
1	PB2	MH125661	Yes	2316	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
8	-N/A-,-N/A-	MH443418	Yes	865	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
4	HA	MH443420	Yes	1752	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
8	-N/A-,-N/A-	MH125654	Yes	865	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
6	NA	MH125656	Yes	1433	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
4	HA	MH125658	Yes	1752	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
2	-N/A-	MH125660	Yes	2316	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
3	PA,PA-X	MH443415	Yes	2208	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
2	-N/A-	MH443417	Yes	2316	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
1	PB2	MH443419	Yes	2316	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
5	NP	MH443421	Yes	1540	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
7	-N/A-,-N/A-	MH125655	Yes	1002	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
5	NP	MH125657	Yes	1540	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
3	PA,PA-X	MH125659	Yes	2208	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
7	-N/A-,-N/A-	MH443416	Yes	1002	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	Pass	
6	NA	MH183455	Yes	1434	H1N1	02/08/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/17/2018	Pass	
8	-N/A-,-N/A-	MH183457	Yes	865	H1N1	02/08/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/17/2018	Pass	
1	PB2	MH183450	Yes	2316	H1N1	02/08/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/17/2018	Pass	
7	-N/A-,-N/A-	MH183456	Yes	1002	H1N1	02/08/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/17/2018	Pass	
5	NP	MH183454	Yes	1540	H1N1	02/08/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/17/2018	Pass	
2	-N/A-	MH183451	Yes	2316	H1N1	02/08/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/17/2018	Pass	
4	HA	MH183453	Yes	1752	H1N1	02/08/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/17/2018	Pass	
3	PA,PA-X	MH183452	Yes	2208	H1N1	02/08/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/17/2018	Pass	
2	-N/A-,-N/A-	MH585850	Yes	2316	H3N2	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/18/2018	Pass	
4	HA	MH585852	Yes	1737	H3N2	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/18/2018	Pass	
6	NA	MH585854	Yes	1441	H3N2	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/18/2018	Pass	
8	-N/A-,-N/A-	MH585856	Yes	865	H3N2	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/18/2018	Pass	
3	PA,PA-X	MH585851	Yes	2209	H3N2	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/18/2018	Pass	
5	NP	MH585853	Yes	1542	H3N2	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/18/2018	Pass	
7	-N/A-,-N/A-	MH585855	Yes	1002	H3N2	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/18/2018	Pass	
1	PB2	MH585849	Yes	2316	H3N2	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/18/2018	Pass	
3	PA,PA-X	MH183460	Yes	2208	H1N1	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/19/2018	Pass	
5	NP	MH183462	Yes	1540	H1N1	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/19/2018	Pass	
7	-N/A-,-N/A-	MH183464	Yes	1002	H1N1	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/19/2018	Pass	
8	-N/A-,-N/A-	MH183465	Yes	865	H1N1	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/19/2018	Pass	
2	-N/A-	MH183459	Yes	2316	H1N1	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/19/2018	Pass	
4	HA	MH183461	Yes	1752	H1N1	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/19/2018	Pass	
6	NA	MH183463	Yes	1433	H1N1	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/19/2018	Pass	
1	PB2	MH183458	Yes	2316	H1N1	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/19/2018	Pass	
5	NP	MH792467	Yes	1542	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
1	PB2	MH585857	Yes	2316	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
4	HA	MH585860	Yes	1737	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
8	-N/A-,-N/A-	MH585864	Yes	865	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
6	NA	MH585862	Yes	1441	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
5	NP	MH585861	Yes	1542	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
3	PA,PA-X	MH585859	Yes	2209	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
6	NA	MH792460	Yes	1441	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
7	-N/A-,-N/A-	MH792462	Yes	1002	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
8	-N/A-,-N/A-	MH792464	Yes	865	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
4	HA	MH792466	Yes	1737	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
1	PB2	MH792465	Yes	2316	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
2	-N/A-,-N/A-	MH792463	Yes	2316	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
3	PA,PA-X	MH792461	Yes	2209	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
7	-N/A-,-N/A-	MH585863	Yes	1002	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
2	-N/A-,-N/A-	MH585858	Yes	2316	H3N2	02/11/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/20/2018	Pass	
1	PB2	MH359811	Yes	2316	H1N1	02/26/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/21/2018	Pass	
5	NP	MH359815	Yes	1540	H1N1	02/26/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/21/2018	Pass	
7	-N/A-,-N/A-	MH359817	Yes	1002	H1N1	02/26/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/21/2018	Pass	
8	-N/A-,-N/A-	MH359818	Yes	865	H1N1	02/26/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/21/2018	Pass	
6	NA	MH359816	Yes	1434	H1N1	02/26/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/21/2018	Pass	
4	HA	MH359814	Yes	1752	H1N1	02/26/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/21/2018	Pass	
3	PA,PA-X	MH359813	Yes	2208	H1N1	02/26/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/21/2018	Pass	
2	-N/A-	MH359812	Yes	2316	H1N1	02/26/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/21/2018	Pass	
6	NA	CY258510	Yes	1433	H1N1	10/09/2017	IRD:Human	USA	Alabama	17-18	A/Alabama/22/2017	Pass	
4	HA	CY258508	Yes	1752	H1N1	10/09/2017	IRD:Human	USA	Alabama	17-18	A/Alabama/22/2017	Pass	
8	NS1,NS2	CY256521	Yes	865	H1N1	10/09/2017	IRD:Human	USA	Alabama	17-18	A/Alabama/22/2017	Pass	
