Strain Name	Complete Genome	Subtype	Collection Date	Host	Country	State/Province	Geographic Grouping	Flu Season	Submission Date	Passage History	Specimen Source Health Status	1 PB1	2 PB2	3 PA	4 HA	5 NP	6 NA	7 MP	8 NS	Age	Gender	M2 31N	M2 26F	M2 27A	M2 30T	M2 34E	NA 275Y N1	NA 292K N2	NA 119V N2	NA 294S N2	PB1-F2 66S	PB2 E627K	PB2 D701N	PB2 A199S	PB2 A661T	PB2 V667I	PB2 K702R	PA S409N	NP L136M	M2 A16G	M2 C55F	NS1 T92E	RERRRKKR	Sensitive Drug	Resistant Drug	Submission Date	NCBI Taxon ID	pH1N1-like	US Swine H1 Clade	Global Swine H1 Clade test	H5 Clade	
B/Alabama/15/2017	Yes	-N/A-	12/05/2017	Human	USA	Alabama	North America	17-18	2018-01-02	 Original	-N/A-	MH080659,CY263538	MH080657,CY263539	MH080655,CY263540	MH080660,CY263541	CY263542,MH080661	MH080654,CY263543	MH080656,CY263544	MH080658,CY263545	11	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	Inconsistent	2067616	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/16/2017	Yes	-N/A-	12/06/2017	Human	USA	Alabama	North America	17-18	2018-01-02	 Original	-N/A-	MH080667,CY263546	MH080665,CY263547	MH080663,CY263548	MH080668,CY263549	CY263550,MH080669	MH080662,CY263551	MH080664,CY263552	MH080666,CY263553	71	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	Inconsistent	2067617	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/17/2017	Yes	-N/A-	11/28/2017	Human	USA	Alabama	North America	17-18	2018-03-24	Original	-N/A-	MH080671	MH080670	MH080672	MH080673	MH080674	MH080675	MH080676	MH080677	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	03/24/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/18/2017	Yes	-N/A-	11/30/2017	Human	USA	Alabama	North America	17-18	2018-03-24	Original	-N/A-	MH080679	MH080678	MH080680	MH080681	MH080682	MH080683	MH080684	MH080685	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	03/24/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/6872/2018	No	-N/A-	01/26/2018	Human	USA	Alabama	North America	17-18	2018-09-15	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH885101	-N/A-	-N/A-	-N/A-	-N/A-	43	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	09/15/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/6873/2018	No	-N/A-	01/26/2018	Human	USA	Alabama	North America	17-18	2018-09-15	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH885102	-N/A-	-N/A-	-N/A-	-N/A-	57	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	09/15/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/01/2018	Yes	-N/A-	01/12/2018	Human	USA	Alaska	North America	17-18	2018-04-03	Original	-N/A-	MH135907	MH135906	MH135908	MH135909	MH135910	MH135911	MH135912	MH135913	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	04/03/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/02/2018	Yes	-N/A-	01/16/2018	Human	USA	Alaska	North America	17-18	2018-04-03	Original	-N/A-	MH135915	MH135914	MH135916	MH135917	MH135918	MH135919	MH135920	MH135921	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	04/03/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/03/2018	Yes	-N/A-	01/31/2018	Human	USA	Alaska	North America	17-18	2018-07-12	Original	-N/A-	MH583094	MH583093	MH583095	MH583096	MH583097	MH583098	MH583099	MH583100	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/12/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/04/2018	Yes	-N/A-	02/05/2018	Human	USA	Alaska	North America	17-18	2018-07-12	Original	-N/A-	MH583102	MH583101	MH583103	MH583104	MH583105	MH583106	MH583107	MH583108	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/12/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/05/2018	Yes	-N/A-	02/07/2018	Human	USA	Alaska	North America	17-18	2018-07-12	Original	-N/A-	MH583110	MH583109	MH583111	MH583112	MH583113	MH583114	MH583115	MH583116	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/12/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/06/2018	Yes	-N/A-	02/14/2018	Human	USA	Alaska	North America	17-18	2018-04-29	Original	-N/A-	MH245264	MH245265	MH245263	MH245262	MH245261	MH245260	MH245259	MH245258	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	04/29/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/07/2018	Yes	-N/A-	02/14/2018	Human	USA	Alaska	North America	17-18	2018-04-29	Original	-N/A-	MH245272	MH245273	MH245271	MH245270	MH245269	MH245268	MH245267	MH245266	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	04/29/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/08/2018	Yes	-N/A-	03/02/2018	Human	USA	Alaska	North America	17-18	2018-07-12	Original	-N/A-	MH585100	MH585099	MH585101	MH585102	MH585103	MH585104	MH585105	MH585106	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/12/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/09/2018	Yes	-N/A-	03/05/2018	Human	USA	Alaska	North America	17-18	2018-07-12	Original	-N/A-	MH585109	MH585108	MH585107	MH585110	MH585111	MH585112	MH585113	MH585114	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/12/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/10/2018	Yes	-N/A-	03/15/2018	Human	USA	Alaska	North America	17-18	2018-05-23	Original	-N/A-	MH362869	MH362868	MH362870	MH362871	MH362872	MH362873	MH362874	MH362875	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	05/23/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/11/2018	Yes	-N/A-	03/23/2018	Human	USA	Alaska	North America	17-18	2018-05-23	Original	-N/A-	MH362877	MH362876	MH362878	MH362879	MH362880	MH362881	MH362882	MH362883	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	05/23/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/12/2018	Yes	-N/A-	04/14/2018	Human	USA	Alaska	North America	17-18	2018-07-17	Original	-N/A-	MH606267	MH606266	MH606264	MH606265	MH606263	MH606262	MH606268	MH606261	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/17/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/13/2018	Yes	-N/A-	04/18/2018	Human	USA	Alaska	North America	17-18	2018-07-17	Original	-N/A-	MH606271	MH606270	MH606272	MH606269	MH606273	MH606274	MH606275	MH606276	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/17/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/14/2018	Yes	-N/A-	05/04/2018	Human	USA	Alaska	North America	17-18	2018-07-30	Original	-N/A-	MH671695	MH671694	MH671696	MH671697	MH671698	MH671699	MH671700	MH671701	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/30/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/15/2018	No	-N/A-	05/04/2018	Human	USA	Alaska	North America	17-18	2018-07-30	Original	-N/A-	MH671703	MH671702	MH671704	MH671705	MH671706	MH671707	MH671708	MH671709	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/30/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/16/2018	Yes	-N/A-	05/10/2018	Human	USA	Alaska	North America	17-18	2018-07-30	Original	-N/A-	MH671711	MH671710	MH671712	MH671713	MH671714	MH671715	MH671716	MH671717	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/30/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/17/2018	Yes	-N/A-	05/01/2018	Human	USA	Alaska	North America	17-18	2018-08-13	Original	-N/A-	MH726831	MH726830	MH726832	MH726833	MH726834	MH726835	MH726836	MH726837	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	08/13/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/21/2017	Yes	-N/A-	11/07/2017	Human	USA	Alaska	North America	17-18	2017-12-22	 Original	-N/A-	CY262429	CY262430	CY262431	CY262432	CY262433	CY262434	CY262435	CY262436	68	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	12/22/2017	2066329	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/22/2017	Yes	-N/A-	11/16/2017	Human	USA	Alaska	North America	17-18	2018-07-12	C1 (2017-12-11)	-N/A-	MH581553,MH130701,CY262749	MH581551,MH130699,CY262750	MH581549,MH130697,CY262751	MH581554,MH130702,CY262752	MH581555,CY262753,MH130703	MH581548,MH130696,CY262754	MH581550,MH130698,CY262755	MH581552,MH130700,CY262756	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	Inconsistent	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/23/2017	Yes	-N/A-	12/12/2017	Human	USA	Alaska	North America	17-18	2018-01-16	 Original	-N/A-	CY265943	CY265944	CY265945	CY265946	CY265947	CY265948	CY265949	CY265950	6	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	01/16/2018	2072149	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/24/2017	Yes	-N/A-	12/13/2017	Human	USA	Alaska	North America	17-18	2018-01-16	 Original	-N/A-	CY265935	CY265936	CY265937	CY265938	CY265939	CY265940	CY265941	CY265942	67	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	01/16/2018	2072150	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alaska/6432/2017	No	-N/A-	11/16/2017	Human	USA	Alaska	North America	17-18	2018-05-10	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH292853	-N/A-	-N/A-	-N/A-	-N/A-	18	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	05/10/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alberta/001/2018	No	-N/A-	01/02/2018	Human	Canada	-N/A-	North America	17-18	2018-02-27	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MG910749	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	02/27/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alberta/004/2018	No	-N/A-	01/08/2018	Human	Canada	-N/A-	North America	17-18	2018-02-27	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MG910750	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	02/27/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alberta/005/2018	No	-N/A-	01/09/2018	Human	Canada	-N/A-	North America	17-18	2018-02-27	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MG910751	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	02/27/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alberta/006/2018	No	-N/A-	01/09/2018	Human	Canada	-N/A-	North America	17-18	2018-02-27	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MG910752	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	02/27/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alberta/007/2018	No	-N/A-	01/10/2018	Human	Canada	-N/A-	North America	17-18	2018-02-27	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MG910753	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	02/27/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
