Strain Name	Complete Genome	Subtype	Collection Date	Host	Country	State/Province	Geographic Grouping	Flu Season	Submission Date	Passage History	Specimen Source Health Status	1 PB2	2 PB1	3 PA	4 HA	5 NP	6 NA	7 MP	8 NS	Age	Gender	M2 31N	M2 26F	M2 27A	M2 30T	M2 34E	NA 275Y N1	NA 292K N2	NA 119V N2	NA 294S N2	PB1-F2 66S	PB2 E627K	PB2 D701N	PB2 A199S	PB2 A661T	PB2 V667I	PB2 K702R	PA S409N	NP L136M	M2 A16G	M2 C55F	NS1 T92E	RERRRKKR	Sensitive Drug	Resistant Drug	Submission Date	NCBI Taxon ID	pH1N1-like	US Swine H1 Clade	Global Swine H1 Clade test	H5 Clade	
A/Alabama/15/2018	Yes	H1N1	02/04/2018	Human	USA	Alabama	North America	17-18	2018-04-01	Original	-N/A-	MH125653	MH125652	MH125651	MH125650	MH125649	MH125648	MH125647	MH125646	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/01/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/16/2018	Yes	H1N1	02/05/2018	Human	USA	Alabama	North America	17-18	2018-06-12	C2 (2018-02-19)	-N/A-	MH443419,MH125661	MH443417,MH125660	MH443415,MH125659	MH443420,MH125658	MH443421,MH125657	MH443414,MH125656	MH443416,MH125655	MH443418,MH125654	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Zanamivir	Oseltamivir	Inconsistent	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/17/2018	Yes	H1N1	02/08/2018	Human	USA	Alabama	North America	17-18	2018-04-15	Original	-N/A-	MH183450	MH183451	MH183452	MH183453	MH183454	MH183455	MH183456	MH183457	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/15/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/18/2018	Yes	H3N2	02/10/2018	Human	USA	Alabama	North America	17-18	2018-07-12	Original	-N/A-	MH585849	MH585850	MH585851	MH585852	MH585853	MH585854	MH585855	MH585856	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	07/12/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/19/2018	Yes	H1N1	02/10/2018	Human	USA	Alabama	North America	17-18	2018-04-15	Original	-N/A-	MH183458	MH183459	MH183460	MH183461	MH183462	MH183463	MH183464	MH183465	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/15/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/20/2018	Yes	H3N2	02/11/2018	Human	USA	Alabama	North America	17-18	2018-07-12	Original	-N/A-	MH585857,MH792465	MH585858,MH792463	MH585859,MH792461	MH585860,MH792466	MH585861,MH792467	MH585862,MH792460	MH585863,MH792462	MH585864,MH792464	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/21/2018	Yes	H1N1	02/26/2018	Human	USA	Alabama	North America	17-18	2018-05-22	Original	-N/A-	MH359811	MH359812	MH359813	MH359814	MH359815	MH359816	MH359817	MH359818	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	05/22/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/22/2017	Yes	H1N1	10/09/2017	Human	USA	Alabama	North America	17-18	2017-12-05	 C1 (2017-10-31)	-N/A-	CY258505,CY256514	CY258506,CY256515	CY258507,CY256516	CY258508,CY256517	CY258509,CY256518	CY258510,CY256519	CY258511,CY256520	CY258512,CY256521	8	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	2054931	Positive	npdm	1A.3.3.2	-N/A-	
A/Alabama/22/2018	Yes	H1N1	02/24/2018	Human	USA	Alabama	North America	17-18	2018-04-29	Original	-N/A-	MH245904	MH245903	MH245902	MH245901	MH245900	MH245899	MH245898	MH245897	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/29/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/23/2017	Yes	H1N1	10/13/2017	Human	USA	Alabama	North America	17-18	2017-12-05	 C1 (2017-10-31)	-N/A-	CY258497,CY256506	CY258498,CY256507	CY258499,CY256508	CY258500,CY256509	CY258501,CY256510	CY258502,CY256511	CY258503,CY256512	CY258504,CY256513	1	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	2054932	Positive	npdm	1A.3.3.2	-N/A-	
A/Alabama/23/2018	Yes	H3N2	02/03/2018	Human	USA	Alabama	North America	17-18	2018-07-16	Original	-N/A-	MH601168	MH601170	MH601165	MH601171	MH601169	MH601164	MH601166	MH601167	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	07/16/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/24/2017	Yes	H3N2	10/17/2017	Human	USA	Alabama	North America	17-18	2017-12-05	 S1 (2017-10-30)	-N/A-	CY257930,CY250624	CY257931,CY250625	CY257932,CY250626	CY257933,CY250627	CY250628,CY257934	CY250629,CY257935	CY250630,CY257936	CY250631,CY257937	6	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	2053239	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/24/2018	Yes	H1N1	02/04/2018	Human	USA	Alabama	North America	17-18	2018-07-16	Original	-N/A-	MH601178	MH601176	MH601172	MH601179	MH601173	MH601174	MH601175	MH601177	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	07/16/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/25/2017	Yes	H3N2	10/19/2017	Human	USA	Alabama	North America	17-18	2017-12-11	 S2 (2017-11-06)	-N/A-	CY259879,CY250616	CY259880,CY250617	CY250618,CY259881	CY259882,CY250619	CY259883,CY250620	CY259884,CY250621	CY259885,CY250622	CY259886,CY250623	58	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	2053240	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/26/2017	Yes	H1N1	11/10/2017	Human	USA	Alabama	North America	17-18	2018-02-27	C1 (2017-12-18)	-N/A-	MG978450,CY263252	MG978448,CY263253	MG978446,CY263254	MG978451,CY263255	MG978452,CY263256	MG978445,CY263257	MG978447,CY263258	MG978449,CY263259	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/26/2018	Yes	H3N2	02/09/2018	Human	USA	Alabama	North America	17-18	2018-07-16	Original	-N/A-	MH601181	MH601187	MH601185	MH601182	MH601183	MH601184	MH601186	MH601180	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	07/16/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/27/2017	Yes	H3N2	11/12/2017	Human	USA	Alabama	North America	17-18	2018-01-08	 Original	-N/A-	CY264176	CY264177	CY264178	CY264179	CY264180	CY264181	CY264182	CY264183	1	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	01/08/2018	2069489	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/27/2018	Yes	H1N1	02/11/2018	Human	USA	Alabama	North America	17-18	2018-07-16	Original	-N/A-	MH601193	MH601192	MH601190	MH601194	MH601195	MH601189	MH601191	MH601188	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	07/16/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/28/2017	Yes	H1N1	11/14/2017	Human	USA	Alabama	North America	17-18	2018-02-27	C1 (2017-12-18)	-N/A-	MG978458,CY263244	MG978456,CY263245	MG978454,CY263246	MG978459,CY263247	MG978460,CY263248	MG978453,CY263249	MG978455,CY263250	MG978457,CY263251	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/29/2017	Yes	H3N2	12/01/2017	Human	USA	Alabama	North America	17-18	2018-01-08	 Original	-N/A-	CY264200	CY264201	CY264202	CY264203	CY264204	CY264205	CY264206	CY264207	74	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	01/08/2018	2069490	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/29/2018	Yes	H1N1	02/13/2018	Human	USA	Alabama	North America	17-18	2018-07-16	Original	-N/A-	MH601201	MH601199	MH601197	MH601202	MH601203	MH601196	MH601198	MH601200	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	07/16/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/30/2017	Yes	H3N2	12/03/2017	Human	USA	Alabama	North America	17-18	2018-01-08	 Original	-N/A-	CY264184	CY264185	CY264186	CY264187	CY264188	CY264189	CY264190	CY264191	13	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	01/08/2018	2069491	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/30/2018	Yes	H3N2	02/13/2018	Human	USA	Alabama	North America	17-18	2018-07-16	Original	-N/A-	MH601209	MH601205	MH601207	MH601210	MH601211	MH601206	MH601204	MH601208	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	07/16/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/31/2017	Yes	H3N2	12/03/2017	Human	USA	Alabama	North America	17-18	2018-01-08	 Original	-N/A-	CY264192	CY264193	CY264194	CY264195	CY264196	CY264197	CY264198	CY264199	14	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	01/08/2018	2069492	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/32/2017	Yes	H1N1	12/10/2017	Human	USA	Alabama	North America	17-18	2018-07-30	Original	-N/A-	MH669904	MH669905	MH669906	MH669907	MH669908	MH669909	MH669910	MH669911	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/30/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/32/2018	Yes	H1N1	02/19/2018	Human	USA	Alabama	North America	17-18	2018-07-16	Original	-N/A-	MH601217	MH601215	MH601213	MH601218	MH601219	MH601212	MH601214	MH601216	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	07/16/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/33/2017	Yes	H3N2	12/14/2017	Human	USA	Alabama	North America	17-18	2018-03-24	Original	-N/A-	MH081896	MH081900	MH081903	MH081897	MH081898	MH081902	MH081899	MH081901	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	03/24/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/34/2017	Yes	H1N1	12/15/2017	Human	USA	Alabama	North America	17-18	2018-03-24	Original	-N/A-	MH083314	MH083315	MH083316	MH083317	MH083318	MH083319	MH083320	MH083321	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	03/24/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/35/2017	Yes	H3N2	12/19/2017	Human	USA	Alabama	North America	17-18	2018-03-24	Original	-N/A-	MH081911,MH126391	MH081910,MH126393	MH081909,MH126395	MH081905,MH126390	MH081904,MH126389	MH081908,MH126396	MH081907,MH126394	MH081906,MH126392	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/36/2017	Yes	H3N2	12/21/2017	Human	USA	Alabama	North America	17-18	2018-03-24	Original	-N/A-	MH081919	MH081918	MH081917	MH081916	MH081915	MH081914	MH081913	MH081912	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	03/24/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
